0.200, -9.9000e+01, 1.8051e+04, 6.6047e+04, 2.1440e+05, 3.7277e+05, 5.3013e+05, 3.4120e+04, 1.2572e+05, 3.2837e+05, 4.9572e+05, 6.0477e+05, 9.4038e+05, 1.1285e+06, 5.4698e+05, 4.1592e+05, 2.6002e+05, 1.8456e+05, 8.2543e+04, -99.0000, 13.2588, 11.8504, 10.5719, 9.9714, 9.5890, 12.5675, 11.1515, 10.1091, 9.6619, 9.4460, 8.9667, 8.7687, 9.5551, 9.8525, 10.3625, 10.7346, 11.6083
0.210, -9.9000e+01, 1.5300e+04, 5.6966e+04, 1.8733e+05, 3.3021e+05, 4.7390e+05, 2.9428e+04, 1.0854e+05, 2.9067e+05, 4.4331e+05, 5.3993e+05, 8.4539e+05, 1.0302e+06, 4.9755e+05, 3.8051e+05, 2.3869e+05, 1.6836e+05, 7.4835e+04, -99.0000, 13.4382, 12.0110, 10.7185, 10.1030, 9.7108, 12.7281, 11.3110, 10.2415, 9.7832, 9.5692, 9.0824, 8.8677, 9.6579, 9.9491, 10.4554, 10.8344, 11.7147
0.230, -9.9000e+01, 1.1096e+04, 4.4058e+04, 1.4345e+05, 2.6310e+05, 3.8327e+05, 2.2198e+04, 8.1808e+04, 2.3138e+05, 3.5880e+05, 4.3638e+05, 6.9195e+05, 8.6892e+05, 4.1685e+05, 3.2254e+05, 2.0388e+05, 1.4194e+05, 6.2321e+04, -99.0000, 13.7871, 12.2899, 11.0083, 10.3497, 9.9412, 13.0342, 11.6180, 10.4892, 10.0129, 9.8003, 9.2998, 9.0526, 9.8500, 10.1286, 10.6265, 11.0197, 11.9134
0.250, -9.9000e+01, 8.1130e+03, 3.4726e+04, 1.1074e+05, 2.1281e+05, 3.1443e+05, 1.6777e+04, 6.2861e+04, 1.8708e+05, 2.9445e+05, 3.5872e+05, 5.7397e+05, 7.4114e+05, 3.5421e+05, 2.7742e+05, 1.7687e+05, 1.2147e+05, 5.2684e+04, -99.0000, 14.1271, 12.5484, 11.2893, 10.5800, 10.1562, 13.3382, 11.9040, 10.7199, 10.2275, 10.0131, 9.5028, 9.2252, 10.0268, 10.2922, 10.7809, 11.1888, 12.0958
0.300, -9.9000e+01, 3.8649e+03, 1.9951e+04, 6.0326e+04, 1.3246e+05, 2.0281e+05, 8.7815e+03, 3.5031e+04, 1.1486e+05, 1.8842e+05, 2.3249e+05, 3.7681e+05, 5.1390e+05, 2.4900e+05, 1.9982e+05, 1.3085e+05, 8.6733e+04, 3.6456e+04, -99.0000, 14.9321, 13.1501, 11.9487, 11.0948, 10.6323, 14.0411, 12.5389, 11.2496, 10.7122, 10.4840, 9.9597, 9.6228, 10.4095, 10.6484, 11.1081, 11.5545, 12.4956
0.350, -9.9000e+01, 2.1043e+03, 1.1991e+04, 3.5158e+04, 8.6814e+04, 1.3776e+05, 4.7029e+03, 2.0871e+04, 7.3934e+04, 1.2640e+05, 1.5961e+05, 2.6069e+05, 3.6872e+05, 1.8813e+05, 1.5155e+05, 1.0247e+05, 6.5540e+04, 2.6690e+04, -99.0000, 15.5922, 13.7028, 12.5349, 11.5535, 11.0522, 14.7191, 13.1011, 11.7279, 11.1456, 10.8924, 10.3597, 9.9832, 10.7139, 10.9486, 11.3735, 11.8587, 12.8341
0.400, -9.9000e+01, 1.3075e+03, 7.3426e+03, 2.1919e+04, 5.9088e+04, 9.6449e+04, 2.4868e+03, 1.2821e+04, 4.9262e+04, 8.7441e+04, 1.1556e+05, 1.8777e+05, 2.6976e+05, 1.5146e+05, 1.1936e+05, 8.3635e+04, 5.1557e+04, 2.0375e+04, -99.0000, 16.1089, 14.2354, 13.0479, 11.9713, 11.4393, 15.4109, 13.6302, 12.1687, 11.5457, 11.2430, 10.7159, 10.3226, 10.9492, 11.2079, 11.5940, 12.1193, 13.1272
0.450, -9.9000e+01, 8.1398e+02, 4.6955e+03, 1.3645e+04, 4.1322e+04, 6.9928e+04, 1.4128e+03, 8.4685e+03, 3.2473e+04, 6.2962e+04, 8.6148e+04, 1.3959e+05, 2.0331e+05, 1.2834e+05, 9.6727e+04, 7.0249e+04, 4.1865e+04, 1.6067e+04, -99.0000, 16.6235, 14.7208, 13.5625, 12.3595, 11.7884, 16.0248, 14.0805, 12.6212, 11.9023, 11.5619, 11.0379, 10.6296, 11.1291, 11.4361, 11.7834, 12.3454, 13.3852
0.500, -9.9000e+01, 5.5637e+02, 2.9468e+03, 9.2667e+03, 2.8865e+04, 5.2359e+04, 9.6502e+02, 5.6771e+03, 2.1549e+04, 4.6895e+04, 6.5322e+04, 1.0703e+05, 1.5843e+05, 1.1141e+05, 8.0102e+04, 5.9942e+04, 3.5113e+04, 1.3001e+04, -99.0000, 17.0366, 15.2266, 13.9827, 12.7491, 12.1025, 16.4387, 14.5147, 13.0665, 12.2222, 11.8623, 11.3263, 10.9004, 11.2827, 11.6409, 11.9557, 12.5363, 13.6151
0.600, -9.9000e+01, -9.9000e+01, 1.1951e+03, 4.8084e+03, 1.3752e+04, 3.0947e+04, 4.2153e+02, 2.7104e+03, 1.0222e+04, 2.7282e+04, 3.8669e+04, 6.6101e+04, 1.0469e+05, 8.8020e+04, 5.7441e+04, 4.5048e+04, 2.6762e+04, 9.0451e+03, -99.0000, -99.0000, 16.2065, 14.6950, 13.5541, 12.6735, 17.3379, 15.3174, 13.8762, 12.8103, 12.4316, 11.8495, 11.3502, 11.5385, 12.0019, 12.2658, 12.8312, 14.0090
