# Ell2 Log(L(8-1000um))=14.0 L_sun, Fluxes in uJy and mags in AB (Optical filters from Loiano (Ul), VVDS (UBVRI) and CFHTLS (Ugriz+p)
#          z      F(Ul)       F(U)       F(B)       F(V)       F(R)       F(I)      F(Up)      F(gp)      F(rp)      F(ip)      F(zp)       F(J)      F(Ks)     F(3.6)     F(4.5)     F(5.8)     F(8.0)      F(24)   mag(Ul)    mag(U)    mag(B)    mag(V)    mag(R)    mag(I)   mag(Up)   mag(gp)   mag(rp)   mag(ip)   mag(zp)    mag(J)   mag(Ks)  mag(3.6)  mag(4.5)  mag(5.8)  mag(8.0)   mag(24)
# lambda(um)     0.3688     0.3446     0.4355     0.5388     0.6597     0.8079     0.3783     0.4858     0.6258     0.7701     0.8909     1.2534     2.1640     3.5640     4.5119     5.7601     7.9600    23.8433    0.3688    0.3446    0.4355    0.5388    0.6597    0.8079    0.3783    0.4858    0.6258    0.7701    0.8909    1.2534    2.1640    3.5640    4.5119    5.7601    7.9600   23.8433
          z      F(Ul)       F(U)       F(B)       F(V)       F(R)       F(I)      F(Up)      F(gp)      F(rp)      F(ip)      F(zp)       F(J)      F(Ks)     F(3.6)     F(4.5)     F(5.8)     F(8.0)      F(24)   mag(Ul)    mag(U)    mag(B)    mag(V)    mag(R)    mag(I)   mag(Up)   mag(gp)   mag(rp)   mag(ip)   mag(zp)    mag(J)   mag(Ks)  mag(3.6)  mag(4.5)  mag(5.8)  mag(8.0)   mag(24)
       0.210 -9.9000e+01  2.2766e+04  7.2774e+04  2.1746e+05  3.3353e+05  4.3336e+05  3.9307e+04  1.3336e+05  3.0338e+05  4.1361e+05  4.7251e+05  6.4120e+05  7.0327e+05  3.3905e+05  2.6488e+05  1.7571e+05  1.3508e+05  9.9233e+04   -99.0000    13.0068    11.7451    10.5565    10.0922     9.8079    12.4138    11.0874    10.1950     9.8585     9.7140     9.3825     9.2822    10.0743    10.3424    10.7880    11.0735    11.4084
       0.230 -9.9000e+01  1.6891e+04  5.6012e+04  1.6937e+05  2.6826e+05  3.5313e+05  3.0020e+04  1.0154e+05  2.4408e+05  3.3691e+05  3.8552e+05  5.2644e+05  5.9459e+05  2.8423e+05  2.2401e+05  1.4934e+05  1.1327e+05  8.2261e+04   -99.0000    13.3309    12.0293    10.8279    10.3286    10.0302    12.7065    11.3834    10.4312    10.0812     9.9349     9.5966     9.4645    10.2658    10.5243    10.9645    11.2648    11.6120
       0.250 -9.9000e+01  1.2652e+04  4.3681e+04  1.3296e+05  2.1917e+05  2.9200e+05  2.3150e+04  7.8625e+04  1.9940e+05  2.7833e+05  3.1934e+05  4.3823e+05  5.0837e+05  2.4181e+05  1.9225e+05  1.2895e+05  9.6418e+04  6.9215e+04   -99.0000    13.6446    12.2993    11.0907    10.5480    10.2366    12.9886    11.6611    10.6507    10.2886    10.1394     9.7957     9.6346    10.4413    10.6903    11.1240    11.4396    11.7995
       0.300 -9.9000e+01  6.4551e+03  2.5097e+04  7.5368e+04  1.3991e+05  1.9153e+05  1.2719e+04  4.4293e+04  1.2570e+05  1.8133e+05  2.1008e+05  2.9099e+05  3.5485e+05  1.7068e+05  1.3776e+05  9.4368e+04  6.8007e+04  4.7323e+04   -99.0000    14.3752    12.9010    11.7070    11.0354    10.6944    13.6388    12.2842    11.1517    10.7538    10.5940    10.2403    10.0249    10.8195    11.0522    11.4629    11.8186    12.2123
       0.350 -9.9000e+01  3.7528e+03  1.5590e+04  4.4810e+04  9.4135e+04  1.3235e+05  7.1552e+03  2.6523e+04  8.3239e+04  1.2416e+05  1.4675e+05  2.0359e+05  2.5646e+05  1.2937e+05  1.0400e+05  7.3196e+04  5.0829e+04  3.4216e+04   -99.0000    14.9641    13.4179    12.2716    11.4656    11.0957    14.2634    12.8409    11.5992    11.1650    10.9836    10.6281    10.3774    11.1204    11.3574    11.7388    12.1347    12.5644
       0.400 -9.9000e+01  2.4612e+03  9.8760e+03  2.7839e+04  6.5703e+04  9.4553e+04  4.0403e+03  1.6486e+04  5.6912e+04  8.8027e+04  1.0778e+05  1.4884e+05  1.8943e+05  1.0427e+05  8.1617e+04  5.9237e+04  3.9585e+04  2.5785e+04   -99.0000    15.4221    13.9136    12.7884    11.8560    11.4608    14.8840    13.3572    12.0120    11.5385    11.3187    10.9682    10.7064    11.3547    11.6205    11.9685    12.4062    12.8716
       0.450 -9.9000e+01  1.6552e+03  6.4983e+03  1.7408e+04  4.7041e+04  7.0013e+04  2.4468e+03  1.0903e+04  3.8860e+04  6.4691e+04  8.1514e+04  1.1236e+05  1.4426e+05  8.8203e+04  6.5983e+04  4.9386e+04  3.1855e+04  2.0063e+04   -99.0000    15.8529    14.3680    13.2981    12.2188    11.7871    15.4285    13.8061    12.4262    11.8729    11.6219    11.2735    11.0021    11.5363    11.8514    12.1660    12.6421    13.1440
       0.500 -9.9000e+01  1.1999e+03  4.2705e+03  1.1685e+04  3.3905e+04  5.3331e+04  1.7298e+03  7.3546e+03  2.6699e+04  4.9147e+04  6.2760e+04  8.7363e+04  1.1350e+05  7.6396e+04  5.4593e+04  4.1884e+04  2.6468e+04  1.6014e+04   -99.0000    16.2021    14.8238    13.7310    12.5743    12.0826    15.8050    14.2336    12.8338    12.1713    11.9058    11.5467    11.2625    11.6923    12.0572    12.3449    12.8432    13.3888
       0.600 -9.9000e+01 -9.9000e+01  1.8909e+03  6.0324e+03  1.7202e+04  3.2777e+04  8.7384e+02  3.7056e+03  1.3019e+04  2.9842e+04  3.8576e+04  5.5941e+04  7.6103e+04  5.9977e+04  3.9278e+04  3.1192e+04  1.9782e+04  1.0833e+04   -99.0000   -99.0000    15.7083    14.4488    13.3110    12.6111    16.5464    14.9778    13.6136    12.7129    12.4342    12.0307    11.6965    11.9550    12.4146    12.6649    13.1593    13.8131
       0.700 -9.9000e+01 -9.9000e+01  8.9673e+02  3.4549e+03  9.1553e+03  2.0592e+04  5.4388e+02  1.9215e+03  6.6814e+03  1.8472e+04  2.5138e+04  3.8609e+04  5.4933e+04  4.8136e+04  3.0448e+04  2.4319e+04  1.5730e+04  7.7960e+03   -99.0000   -99.0000    16.5184    15.0539    13.9958    13.1157    17.0612    15.6909    14.3378    13.2337    12.8992    12.4333    12.0504    12.1938    12.6911    12.9351    13.4082    14.1703
